timestamp,flux_nA
2025-11-01T10:14:06.348,-0.09
2025-11-01T10:14:06.858,-0.1
2025-11-01T10:14:07.340,-0.08
2025-11-01T10:14:07.849,-0.09
2025-11-01T10:14:08.340,-0.1
2025-11-01T10:14:08.857,-0.1
2025-11-01T10:14:09.349,-0.08
2025-11-01T10:14:09.847,-0.1
2025-11-01T10:14:10.350,-0.09
2025-11-01T10:14:10.847,-0.09
2025-11-01T10:14:11.362,-0.09
2025-11-01T10:14:11.878,-0.09
2025-11-01T10:14:12.378,-0.08
2025-11-01T10:14:12.891,-0.1
2025-11-01T10:14:13.387,-0.08
2025-11-01T10:14:13.880,-0.08
2025-11-01T10:14:14.379,-0.08
2025-11-01T10:14:14.880,-0.1
2025-11-01T10:14:15.381,-0.1
2025-11-01T10:14:15.887,-0.1
2025-11-01T10:14:16.375,-0.07
2025-11-01T10:14:16.876,-0.09
2025-11-01T10:14:17.379,-0.09
2025-11-01T10:14:17.876,-0.09
2025-11-01T10:14:18.383,-0.08
2025-11-01T10:14:18.882,-0.08
2025-11-01T10:14:19.385,-0.09
2025-11-01T10:14:19.884,-0.11
2025-11-01T10:14:20.377,-0.08
2025-11-01T10:14:20.876,-0.09
2025-11-01T10:14:21.377,-0.1
2025-11-01T10:14:21.877,-0.1
2025-11-01T10:14:22.384,-0.09
2025-11-01T10:14:22.890,-0.1
2025-11-01T10:14:23.377,-0.07
2025-11-01T10:14:23.895,-0.1
2025-11-01T10:14:24.393,-0.08
2025-11-01T10:14:24.905,-0.09
2025-11-01T10:14:25.399,-0.09
2025-11-01T10:14:25.913,-0.1
2025-11-01T10:14:26.417,-0.08
2025-11-01T10:14:26.919,-0.1
2025-11-01T10:14:27.418,-0.07
2025-11-01T10:14:27.907,-0.08
2025-11-01T10:14:28.421,-0.1
2025-11-01T10:14:28.918,-0.1
2025-11-01T10:14:29.407,-0.08
2025-11-01T10:14:29.916,-0.11
2025-11-01T10:14:30.411,-0.08
2025-11-01T10:14:30.916,-0.1
